513,,Y,Y
949,N,Y,Y
950,N,Y,Y
951,N,Y,Y
1018,,N,Y
1510,N,N,Y
6233,N,N,Y
6356,N,N,Y
6677,N,N,Y
6730,N,Y,Y
7546,N,N,Y
7592,N,N,Y
7990,N,N,Y
8125,N,N,Y
8146,N,N,Y
9078,N,N,Y
9085,N,N,Y
9092,N,N,Y
9099,N,N,Y
9109,N,N,Y
9114,N,N,Y
9244,N,N,Y
9613,N,Y,Y
10471,,N,Y
11389,,N,Y
11771,,N,Y
12281,N,N,Y
12586,N,N,Y
12588,N,N,Y
12831,N,N,Y
12874,N,N,Y
12879,N,N,Y
13376,,Y,Y
13385,,N,Y
14337,,Y,Y
15307,,Y,Y
15308,,Y,Y
17852,,Y,Y
18651,,N,Y
18652,,N,Y
19572,N,Y,Y
23432,N,N,Y
23435,N,N,Y
23438,N,N,Y
23444,N,N,Y
23447,N,N,Y
23450,N,N,Y
28902,,Y,Y
28947,,Y,Y
29749,,Y,Y
29784,,Y,Y
29827,,Y,Y
29828,,Y,N
29830,,Y,Y
29831,,Y,N
31058,,Y,N
31060,,Y,Y
31063,,Y,N
31065,,Y,Y
35710,N,N,Y
35724,N,N,Y
35727,N,N,Y
36163,N,N,Y
37207,N,Y,N
37314,N,Y,Y
37678,,N,Y
37752,N,N,Y
37775,N,N,Y
37852,Y,N,Y
37853,Y,N,Y
37856,Y,N,Y
37858,Y,N,Y
37859,Y,N,Y
37860,Y,N,Y
38226,N,N,Y
38241,N,N,Y
38293,N,Y,Y
39214,N,N,Y
39277,N,N,Y
39991,N,N,Y
39993,N,N,Y
40062,,Y,Y
40806,N,N,Y
40807,N,N,Y
40808,N,N,Y
41519,N,N,Y
41521,N,N,Y
41621,N,N,Y
41692,N,Y,Y
41727,,Y,Y
41869,N,N,Y
41965,N,N,Y
42074,,N,Y
42199,,Y,Y
42864,N,N,Y
42865,N,N,Y
43175,N,N,Y
43206,N,N,Y
44563,N,N,Y
44564,N,N,Y
44565,N,N,Y
44566,N,N,Y
45244,N,N,Y
45246,N,N,Y
45248,N,N,Y
45250,N,N,Y
45644,N,N,Y
45647,N,N,Y
47554,N,N,Y
47557,N,N,Y
47968,N,N,Y
48228,N,N,Y
48248,N,N,Y
48301,Y,N,N
48302,Y,N,N
48303,Y,N,N
48304,Y,N,N
48305,Y,N,N
48306,Y,N,N
48307,Y,N,N
48308,Y,N,N
48309,Y,N,N
48310,Y,N,N
48311,Y,N,N
48312,Y,N,N
48313,Y,N,N
48314,Y,N,N
48344,N,N,Y
48467,N,N,Y
48468,N,N,Y
48546,N,N,Y
48908,N,N,Y
49138,N,N,Y
49775,N,N,Y
49777,N,N,Y
49825,N,N,Y
49836,N,N,Y
49837,N,N,Y
49974,N,N,Y
50400,,N,Y
50553,,Y,Y
50559,,Y,Y
50598,,Y,Y
50675,,Y,Y
50676,,Y,Y
50677,,Y,Y
50787,,N,Y
50797,,N,Y
50798,,N,Y
51038,,N,Y
51041,,N,Y
51049,,N,Y
51057,,Y,Y
51063,,N,Y
51071,,N,Y
51076,,N,Y
51173,,Y,Y
51211,N,N,Y
51700,N,N,Y
51703,N,N,Y
51721,,Y,Y
51722,,Y,Y
51723,,Y,Y
51867,N,Y,Y
51916,N,N,Y
51917,N,N,Y
51918,N,N,Y
51965,N,N,Y
52058,N,N,Y
52059,N,N,Y
52149,N,Y,Y
52159,N,N,Y
52160,N,N,Y
52161,N,N,Y
52239,N,Y,Y
52339,N,N,Y
54526,N,N,Y
54533,N,N,Y
54535,N,Y,Y
54544,N,N,Y
54552,N,N,Y
54560,N,N,Y
54574,N,N,Y
54580,N,Y,Y
54614,N,N,Y
54618,N,N,Y
54636,N,N,Y
54642,N,N,Y
54643,N,Y,Y
54650,N,N,Y
54653,N,N,Y
54662,N,N,Y
55822,N,Y,Y
56769,N,N,Y
57359,,N,Y
58668,N,N,Y
58672,N,N,Y
59234,,Y,Y
59784,N,N,Y
60149,N,N,Y
61635,,N,Y
61949,,Y,Y
62052,,Y,Y
62321,N,Y,Y
67371,N,Y,Y
69756,,N,Y
70260,,N,Y
71158,N,N,Y
71162,N,N,Y
71166,N,N,Y
71631,N,N,Y
72028,N,N,Y
72031,N,N,Y
72064,N,Y,Y
72321,N,N,Y
72932,N,N,Y
72936,N,N,Y
72944,N,N,Y
72948,N,N,Y
73041,N,N,Y
73174,N,N,Y
73239,N,N,Y
73450,N,N,Y
73542,N,N,Y
73615,N,N,Y
73619,N,N,Y
73977,N,N,Y
73981,N,N,Y
73985,N,N,Y
73989,N,N,Y
74013,N,N,Y
74017,N,N,Y
74021,N,N,Y
74025,N,N,Y
74029,N,N,Y
74041,N,N,Y
74045,N,N,Y
74049,N,N,Y
74118,N,Y,Y
74266,N,N,Y
