"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Median Household Income (In 2021 Inflation Adjusted Dollars)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Total Employed Civilian Population 16 Years and Over","Employed Civilian Population 16 Years and Over: Agriculture, Forestry, Fishing and Hunting, and Mining","Employed Civilian Population 16 Years and Over: Construction","Employed Civilian Population 16 Years and Over: Manufacturing","Employed Civilian Population 16 Years and Over: Wholesale Trade","Employed Civilian Population 16 Years and Over: Retail Trade","Employed Civilian Population 16 Years and Over: Transportation and Warehousing, and Utilities","Employed Civilian Population 16 Years and Over: Information","Employed Civilian Population 16 Years and Over: Finance and Insurance, and Real Estate and Rental  and Leasing","Employed Civilian Population 16 Years and Over: Professional, Scientific, and Management, and  Administrative and Waste Management Services","Employed Civilian Population 16 Years and Over: Educational Services, and Health Care and Social  Assistance","Employed Civilian Population 16 Years and Over: Arts, Entertainment, and Recreation, and  Accommodation and Food Services","Employed Civilian Population 16 Years and Over: Other Services, Except Public Administration","Employed Civilian Population 16 Years and Over: Public Administration","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races","Total Population"
"06019","Fresno County, California","ACSSF","ca","050","00","0000022",,,,,"06","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06019","Fresno County",,,,61276,619376,136835,482541,342009,140183,46974,17028,4988,415669,37394,25422,26776,13602,43984,24689,4955,17985,38852,102639,33924,19460,25987,1003150,461806,279940,42525,4340,104266,1561,2945,26229,541344,264693,2757,7708,2687,126,156112,107261,1003150
"06021","Glenn County, California","ACSSF","ca","050","00","0000023",,,,,"06","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06021","Glenn County",,,,56332,18294,4303,13991,8453,2725,499,146,72,12172,2390,794,1132,207,1516,855,33,154,658,2124,893,716,700,28675,16380,14365,117,348,996,36,42,476,12295,7131,51,342,0,0,3776,995,28675
"06023","Humboldt County, California","ACSSF","ca","050","00","0000024",,,,,"06","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County",,,,53350,93815,8451,85364,63710,29263,9887,3445,1308,60195,3334,4714,2817,1198,7306,2250,738,2465,5937,14237,7071,3842,4286,137014,120137,98786,1488,5192,4194,384,658,9435,16877,5752,252,639,138,64,6110,3922,137014
"06025","Imperial County, California","ACSSF","ca","050","00","0000025",,,,,"06","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06025","Imperial County",,,,49078,110267,32595,77672,49485,16758,4519,1222,281,58404,5539,3522,2379,1497,7126,3733,444,2042,4266,14015,5222,2228,6391,180051,26833,17510,4447,1283,2232,102,146,1113,153218,68966,442,1255,293,64,56455,25743,180051
"06027","Inyo County, California","ACSSF","ca","050","00","0000026",,,,,"06","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06027","Inyo County",,,,60925,13746,1088,12658,8470,3749,1532,369,214,8356,277,743,220,152,758,427,161,371,482,2083,1039,409,1234,18804,14352,11253,72,1756,286,23,39,923,4452,2661,16,351,12,0,550,862,18804
"06029","Kern County, California","ACSSF","ca","050","00","0000027",,,,,"06","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06029","Kern County",,,,58824,552243,132826,419417,267151,97236,33397,9234,3049,353637,50894,25476,19192,8975,36150,22902,3292,12359,28122,77526,29106,16064,23579,905644,409902,291410,45929,3998,42216,1065,2994,22290,495742,272773,2812,4844,1596,149,121574,91994,905644
"06031","Kings County, California","ACSSF","ca","050","00","0000028",,,,,"06","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06031","Kings County",,,,63267,94259,24856,69403,44781,13498,4339,1394,511,52477,8523,1757,4014,1538,5242,2639,516,1406,3145,10633,4347,1757,6960,151887,67518,46860,9188,1228,5687,256,233,4066,84369,39511,831,1036,181,88,28404,14318,151887
"06033","Lake County, California","ACSSF","ca","050","00","0000029",,,,,"06","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06033","Lake County",,,,53399,48848,6548,42300,27699,8557,2810,895,303,25509,1491,2531,1318,312,3275,1193,303,941,2689,5823,2366,1317,1950,67749,52699,45945,1530,1768,922,157,166,2211,15050,3528,90,509,43,0,8119,2761,67749
"06035","Lassen County, California","ACSSF","ca","050","00","0000030",,,,,"06","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06035","Lassen County",,,,59292,24323,4853,19470,11579,2863,765,374,115,8639,464,637,179,131,848,342,131,163,388,1796,592,279,2689,32949,26455,21139,2748,750,513,250,137,918,6494,3794,76,91,1,0,765,1767,32949
"06037","Los Angeles County, California","ACSSF","ca","050","00","0000031",,,,,"06","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County",,,,76367,6922061,1381447,5540614,4129139,2356572,826497,272643,97554,4885032,22022,301223,434701,157090,486349,312878,214307,291762,651872,1042622,524824,271156,174226,10019635,5141016,2550832,766190,19571,1458140,21433,43451,281399,4878619,1831247,29023,79753,20421,2950,2158488,756737,10019635
"06039","Madera County, California","ACSSF","ca","050","00","0000032",,,,,"06","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06039","Madera County",,,,66709,98573,27789,70784,47855,16144,4778,1495,490,58744,8504,4950,5581,1063,5290,2820,579,2653,4051,13204,4890,2137,3022,156304,63904,50655,4395,1366,3354,111,457,3566,92400,35291,250,789,205,25,41903,13937,156304
"06041","Marin County, California","ACSSF","ca","050","00","0000033",,,,,"06","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06041","Marin County",,,,131008,192700,12672,180028,160439,115907,50637,19827,6319,130613,1122,8105,6036,2914,13212,4021,5467,12600,26775,27568,10700,7470,4623,262387,219344,182830,5508,274,15693,423,2596,12020,43043,14792,485,724,198,0,18452,8392,262387
"06043","Mariposa County, California","ACSSF","ca","050","00","0000034",,,,,"06","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06043","Mariposa County",,,,53304,13513,1233,12280,9252,3901,1277,320,128,7040,225,603,263,64,686,210,50,162,555,1300,1895,374,653,17225,15088,13415,142,435,178,50,138,730,2137,1359,7,24,8,0,455,284,17225
"06045","Mendocino County, California","ACSSF","ca","050","00","0000035",,,,,"06","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County",,,,56378,65151,8704,56447,39300,15962,6350,2038,671,38972,2576,3191,2789,873,5365,1596,320,1589,3203,8504,4430,2129,2407,91534,67466,58074,554,2779,1969,124,490,3476,24068,12727,81,915,50,0,5569,4726,91534
"06047","Merced County, California","ACSSF","ca","050","00","0000036",,,,,"06","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06047","Merced County",,,,58861,165461,49054,116407,72527,23259,7280,2215,827,108194,12326,8623,11778,4036,11804,7626,968,3075,7146,23797,7682,4275,5058,279150,108420,72416,7405,893,20418,749,514,6025,170730,56481,652,2374,527,48,93464,17184,279150
"06049","Modoc County, California","ACSSF","ca","050","00","0000037",,,,,"06","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06049","Modoc County",,,,51090,6564,955,5609,3473,1293,429,109,29,2993,620,160,24,54,186,90,21,47,325,637,247,250,332,8723,7401,6686,172,297,67,0,0,179,1322,730,0,12,0,0,448,132,8723
"06051","Mono County, California","ACSSF","ca","050","00","0000038",,,,,"06","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06051","Mono County",,,,71138,9497,1214,8283,6159,2804,971,519,73,7097,196,535,312,11,436,232,66,675,680,1147,2179,321,307,13291,9663,8518,3,103,608,0,147,284,3628,2159,15,119,5,0,639,691,13291
"06053","Monterey County, California","ACSSF","ca","050","00","0000039",,,,,"06","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06053","Monterey County",,,,82013,280524,75771,204753,147841,74311,29797,9818,3837,189807,29583,13637,10138,4890,17936,7426,2518,6661,19479,37563,21527,8075,10374,438953,176992,126356,10124,686,24534,1794,1020,12478,261961,63792,814,2498,1086,229,167608,25934,438953
"06055","Napa County, California","ACSSF","ca","050","00","0000040",,,,,"06","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06055","Napa County",,,,97498,98545,14541,84004,66306,36464,12323,4473,1302,70147,3415,4326,9042,1829,7064,2561,928,3108,7409,15001,9355,3219,2890,138795,90597,70719,2750,327,10661,296,532,5312,48198,22208,101,781,125,6,16875,8102,138795
"06057","Nevada County, California","ACSSF","ca","050","00","0000041",,,,,"06","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06057","Nevada County",,,,74617,78580,3827,74753,59790,30391,11006,3411,1229,46744,680,4518,2146,819,5562,2292,702,2711,6565,10612,4927,3079,2131,102090,92098,85552,381,373,1161,148,219,4264,9992,6841,46,127,40,0,1012,1926,102090
"06059","Orange County, California","ACSSF","ca","050","00","0000042",,,,,"06","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06059","Orange County",,,,100485,2197190,294180,1903010,1524122,925364,340356,107262,39449,1596831,10920,95096,189821,53891,159571,64419,31140,138159,235359,324530,162860,81700,49365,3182923,2099830,1242725,50161,4423,672015,8073,9744,112689,1083093,464867,4914,14158,6421,1065,402268,189400,3182923
"06061","Placer County, California","ACSSF","ca","050","00","0000043",,,,,"06","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06061","Placer County",,,,99734,281849,14584,267265,217726,117251,40840,12481,3254,185819,1388,13644,11278,4146,19814,8526,3429,16272,25036,43255,15631,8296,15104,400330,341695,281400,6197,1198,33652,531,1413,17304,58635,30191,218,754,359,270,12119,14724,400330
"06063","Plumas County, California","ACSSF","ca","050","00","0000044",,,,,"06","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06063","Plumas County",,,,57885,15047,820,14227,10119,3464,1231,273,112,7760,429,723,562,69,713,515,78,304,582,1899,860,299,727,19631,17742,16214,299,235,126,27,0,841,1889,1187,44,135,13,0,152,358,19631
"06065","Riverside County, California","ACSSF","ca","050","00","0000045",,,,,"06","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06065","Riverside County",,,,76066,1572798,267525,1305273,881769,370132,132066,36749,14363,1045030,13276,97350,87286,28311,131048,76768,16199,52241,105188,217950,113678,51802,53933,2409331,1198146,800972,146145,8563,158546,6302,7083,70535,1211185,431578,10110,11295,5213,1439,550631,200919,2409331
"06067","Sacramento County, California","ACSSF","ca","050","00","0000046",,,,,"06","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County",,,,76422,1067929,127455,940474,705399,341705,120128,39946,12860,732788,6004,52456,41171,16716,79951,44940,11557,47727,89237,159735,69036,35774,78484,1571767,1197035,674153,145916,4057,261202,17387,5925,88395,374732,144435,6135,6406,3811,468,134503,78974,1571767
